,Entity's Name,LOC Count,Header Count,Inner Entities Lines,Total,Entity Type
,funcaoDePreProcessador,12,0,0,12,FUNCTION
,main,2,0,0,2,FUNCTION
,.\ProjetoGenerico\Algoritmos\Diretivas.cpp,2,22,14,38,FILE
,prompt,4,0,0,4,FUNCTION
,readNum,4,0,0,4,FUNCTION
,sqrNum,4,0,0,4,FUNCTION
,funcaoDeUsoDeComandoDeControle,156,0,0,156,FUNCTION
,main,2,0,0,2,FUNCTION
,.\ProjetoGenerico\Algoritmos\UsandoEstruturasDeControle.cpp,2,1,170,173,FILE
,funcao_sem_parametros,5,0,0,5,FUNCTION
,funcao1,5,0,0,5,FUNCTION
,funcao2,7,0,0,7,FUNCTION
,sobrecarregada,2,0,0,2,FUNCTION
,sobrecarregada,2,0,0,2,FUNCTION
,main,2,0,0,2,FUNCTION
,.\ProjetoGenerico\Algoritmos\UsandoFuncoes.cpp,8,2,23,33,FILE
,funcaoDeMatriz,3,0,0,3,FUNCTION
,funcaoDeMatriz2,3,0,0,3,FUNCTION
,funcaoDeMatriz3,3,0,0,3,FUNCTION
,funcaoUsandoMatrizes,23,0,0,23,FUNCTION
,funcaoDePonteiro,3,0,0,3,FUNCTION
,funcaoDePonteiro2,3,0,0,3,FUNCTION
,funcaoUsandoPonteiros,27,0,0,27,FUNCTION
,main,8,0,0,8,FUNCTION
,.\ProjetoGenerico\Algoritmos\UsandoMatrizesEPonteiros.cpp,2,2,73,77,FILE
,funcaoDeDeclaracaoDeVariaveisLocais,24,0,0,24,FUNCTION
,funcaoDeUsoDeVariaveisGlobais,28,0,0,28,FUNCTION
,funcaoDeUsoDeVariaveisLocaisEOperadores,51,0,0,51,FUNCTION
,.\ProjetoGenerico\Algoritmos\UsandoVariaveisGlobaisELocais.cpp,11,0,103,114,FILE
,funcc,2,0,0,2,FUNCTION
,GenericClass1,5,0,0,5,METHOD
,GenericClass1,4,0,0,4,METHOD
,GenericClass1,5,0,0,5,METHOD
,setNome,4,0,0,4,METHOD
,getNome,4,0,0,4,METHOD
,printUniversal,3,0,0,3,METHOD
,printUniversal2,3,0,0,3,METHOD
,~GenericClass1,3,0,0,3,METHOD
,GenericClass1,9,0,31,40,CLASS
,GenericClass2,13,0,0,13,CLASS
,GenericClass2::GenericClass2,4,0,0,4,FUNCTION
,GenericClass2::GenericClass2,4,0,0,4,FUNCTION
,GenericClass2::GenericClass2,3,0,0,3,FUNCTION
,GenericClass2::setNome,4,0,0,4,FUNCTION
,GenericClass2::getNome,4,0,0,4,FUNCTION
,metodoGenerico,3,0,0,3,METHOD
,GenericClass3,6,0,3,9,CLASS
,operator,3,0,0,3,FUNCTION
,GenericClass4,2,0,0,2,METHOD
,GenericClass4,8,0,5,13,CLASS
,GenericClass5,2,0,0,2,METHOD
,metodoVirtual,2,0,0,2,METHOD
,GenericClass5,4,0,4,8,CLASS
,metodoGenerico1,2,0,0,2,METHOD
,GenericClassInterna1,3,0,2,5,INNER_CLASS
,ena,1,0,0,1,ENUM
,metodoGenerico,3,0,0,3,METHOD
,GenericClass6,6,0,9,15,CLASS
,main,11,0,0,11,FUNCTION
,.\ProjetoGenerico\Classes\CLASSES1.CPP,4,2,130,136,FILE
,funcaoDeMembroDeEstrutura,3,0,0,3,FUNCTION
,estrutura1,6,0,0,6,STRUCT
,estrutura2,6,0,0,6,STRUCT
,,6,0,0,6,STRUCT
,estrutura3,9,0,0,9,STRUCT
,funcaoDeEstrutura,4,0,0,4,FUNCTION
,funcaoUsandoEstrutura,20,0,0,20,FUNCTION
,union1,6,0,0,6,UNION
,union2,6,0,0,6,UNION
,,6,0,0,6,UNION
,union3,9,0,0,9,UNION
,funcaoDeMembroDeUnion,3,0,0,3,FUNCTION
,funcaoDeUnion,4,0,0,4,FUNCTION
,funcaoUsandoUnion,20,0,0,20,FUNCTION
,enumeration,4,0,0,4,ENUM
,funcaoUsandoEnum,11,0,0,11,FUNCTION
,estrutura4,6,0,0,6,STRUCT
,,6,0,0,6,STRUCT
,funcaoUsandoTypedef,11,0,0,11,FUNCTION
,main,2,0,0,2,FUNCTION
,.\ProjetoGenerico\Classes\EnumsStructsEUnions.cpp,0,1,148,149,FILE
,templateTeste1,2,0,0,2,FUNCTION
,classeTemplate,2,0,0,2,METHOD
,classeTemplate,3,0,2,5,CLASS
,main,2,0,0,2,FUNCTION
,.\ProjetoGenerico\Classes\TEMPLATE.CPP,2,1,9,12,FILE
,TrataErro1::TrataErro1,2,0,0,2,METHOD
,usandoThrow,3,0,0,3,METHOD
,TrataErro1,3,0,5,8,CLASS
,main,9,0,0,9,FUNCTION
